	GSM1233280	GSM1233282	GSM1233283	GSM1233284	GSM1233286	GSM1233287	GSM1233288	GSM1233289	GSM1233290	GSM1233291
101927591	0	0	0	0	1	0	0	0	0	0
105373575	0	0	0	0	2	0	0	0	0	1
105373574	0	0	0	0	3	0	0	0	0	0
107985937	0	0	0	0	3	0	0	0	0	0
389023	0	0	0	0	0	0	0	0	0	0
107985938	0	0	0	0	0	0	0	0	0	0
105373572	0	0	0	0	0	0	0	0	0	0
105373576	0	0	0	0	0	0	0	0	0	0
8886	5342	4489	1828	4881	3041	2759	6209	1865	4161	4370
107985939	55	83	4	41	43	11	66	12	43	48
54520	2127	2110	612	2083	1146	1074	2168	694	1950	1979
101929908	26	17	5	41	42	22	18	9	46	29
102723413	66	37	6	7	50	3	41	3	8	8
107985940	19	68	0	11	13	3	11	7	13	8
51141	738	786	253	703	582	496	856	245	543	731
100506797	0	21	1	0	3	0	16	0	0	2
105373578	0	0	0	6	17	1	0	1	0	1
107985815	0	0	0	0	1	0	0	0	0	0
105373579	0	0	0	0	0	0	0	0	0	0
101927709	0	0	0	0	1	0	0	0	0	0
2019	0	0	0	0	8	0	1	0	0	0
8685	18	6	3	22	4	18	8	17	27	50
165257	0	0	0	0	0	0	0	0	0	0
107985941	0	0	0	0	0	0	0	0	0	0
55240	42	31	37	51	35	11	44	20	47	50
100874111	21	13	1	17	8	4	2	5	3	13
105373581	18	21	5	56	38	18	69	7	80	44
130355	73	149	35	101	84	61	148	20	84	86
1622	205	151	164	131	149	214	321	71	155	141
140738	0	0	0	1	0	1	2	0	0	0
6344	0	0	0	1	5	3	10	0	0	4
107105282	0	0	0	0	0	0	0	0	0	0
200373	0	0	0	0	5	0	0	0	0	1
80775	200	429	30	229	147	66	325	79	317	178
101927764	74	92	14	98	60	13	94	18	65	51
5775	10039	10020	1894	7751	6440	3506	13102	2349	6799	10311
107985817	0	0	0	0	1	0	0	0	0	0
57669	660	775	670	702	494	1591	433	824	605	452
105373582	58	152	1100	392	90	2584	87	1161	181	127
79134	892	1129	713	1159	838	1199	654	857	940	987
105373583	0	0	0	0	3	1	0	0	1	3
5899	2180	1930	3810	3213	1708	4948	1447	2015	1785	2538
105373584	0	0	1	0	0	3	0	3	0	3
105373989	2	0	0	0	0	0	0	0	0	0
3625	34	16	4	26	5	18	0	1	16	25
84931	0	0	0	0	0	0	0	0	0	0
105373585	0	0	0	0	3	0	0	0	0	1
2736	0	0	0	0	6	1	0	0	0	1
105373587	0	0	0	0	6	0	0	0	0	0
105373588	0	0	0	0	0	0	0	0	0	0
29842	15	49	19	43	14	14	36	8	124	37
23332	5842	5604	1841	7128	4567	3263	5466	2061	5038	5219
107985942	76	53	4	37	93	30	27	16	94	56
100151683	1	0	0	1	0	6	0	1	0	0
254128	445	535	191	375	250	376	636	225	391	468
84365	1039	1105	442	873	536	769	1419	400	689	861
7247	990	1012	414	914	594	590	909	388	821	893
105373590	0	0	0	9	1	4	0	1	0	4
101927801	2	0	0	0	0	0	0	0	0	0
105373592	5	12	0	21	5	3	3	1	6	0
105373591	5	37	0	15	17	0	0	0	2	4
105373593	0	0	0	0	1	0	0	0	0	0
107985943	0	0	0	0	0	0	0	0	0	0
105373594	19	0	0	0	0	0	0	0	4	0
105373595	8	33	0	9	23	7	0	0	0	3
105373596	0	0	0	0	0	0	0	0	0	0
107985818	0	0	0	9	0	0	0	0	0	0
107985819	27	5	10	8	13	16	10	12	2	5
107985820	0	0	0	0	0	0	0	0	0	0
129684	0	0	0	3	12	0	0	0	0	0
105373598	0	0	0	0	1	0	0	0	0	0
105373597	0	0	0	0	0	0	0	0	0	0
105373600	0	0	0	0	0	1	0	0	0	0
105373601	0	0	0	0	2	0	0	0	0	0
105373602	0	35	24	43	9	42	54	15	8	71
2995	5978	11825	7388	11504	6482	13799	5917	3675	3282	12040
105373603	0	0	0	0	0	0	0	0	0	0
101929926	0	0	0	0	0	0	0	0	0	0
105373604	0	0	0	0	5	0	0	0	0	0
274	1127	1304	237	1147	686	498	1570	479	721	759
105373605	0	2	0	0	1	0	0	0	1	0
339761	0	2	0	0	1	0	0	0	0	0
2071	411	415	149	401	241	262	514	147	351	360
10746	22198	15929	5085	20793	16508	9547	12887	4344	12401	21225
100506922	245	382	85	287	238	110	241	52	213	195
5624	32	50	11	71	31	12	39	11	5	52
100616187	5	0	0	0	0	0	0	0	0	1
105373608	218	177	43	328	261	72	323	62	150	206
55677	1816	1597	545	1631	1034	1057	1890	575	1099	1598
4648	391	58	51	314	195	82	73	48	56	212
105373609	0	0	2	0	0	2	0	0	0	0
101927834	6	0	0	1	0	1	0	1	50	2
55679	187	215	31	253	168	111	177	55	75	160
2840	2	0	0	6	2	2	1	0	0	0
55339	3379	3423	681	3397	2321	1548	3810	974	3310	3171
84826	388	393	102	394	239	191	362	114	292	335
5433	169	276	108	205	153	77	421	91	405	189
83607	665	581	123	548	326	264	684	181	569	379
107985944	29	29	6	38	9	22	46	7	21	32
79595	918	936	292	1599	869	616	794	386	1211	839
56886	3397	3338	828	3737	2058	1580	3255	909	2527	2851
9394	146	136	23	140	72	64	207	26	121	131
105373610	0	2	0	0	1	1	0	0	0	6
105373611	0	0	0	0	3	0	0	0	0	5
101927881	1	11	0	0	0	0	0	0	0	0
151121	0	0	0	0	0	0	0	0	0	0
105373612	0	0	0	0	0	0	0	0	0	0
105373613	0	0	0	0	0	0	0	0	0	0
105373614	0	0	0	0	0	0	0	0	0	1
107985945	0	0	0	0	0	0	0	0	0	0
105373615	0	3	0	1	0	6	1	0	1	1
105373616	0	0	0	0	5	0	0	0	0	1
389033	0	0	0	0	0	0	0	0	0	0
101927924	0	0	0	0	3	0	0	0	0	0
100131320	5	6	3	7	3	3	3	2	10	8
84084	119	97	103	97	84	124	113	45	106	129
440905	0	1	0	0	4	0	0	0	1	0
728378	1	2	2	2	4	2	0	3	3	3
105373617	0	0	0	0	0	0	0	0	0	0
285103	0	0	0	0	1	0	0	0	0	0
91409	0	0	0	0	0	0	0	0	4	1
55627	500	605	120	571	325	194	446	195	362	319
80097	231	311	152	306	131	316	220	78	104	127
112714	4	16	4	37	8	2	0	3	7	19
100189418	0	0	0	0	0	0	0	0	0	0
84317	805	844	367	1052	670	670	1473	499	694	850
92856	443	546	121	510	236	189	413	133	482	308
26469	2352	3059	1134	3889	2414	2006	2372	1216	2747	2446
105373618	118	165	21	124	117	45	305	23	148	106
100216479	0	13	0	7	21	2	1	0	2	1
646802	0	0	0	0	0	0	0	0	0	0
653269	5	7	3	7	3	6	4	2	6	8
653275	0	1	0	0	0	0	0	0	0	0
646743	2	5	0	0	0	0	1	0	3	0
107985778	0	4	0	0	0	0	0	0	0	0
150527	2	6	0	0	0	0	1	0	6	0
55997	0	1	0	0	0	0	0	0	0	0
653781	13	11	7	20	6	12	5	6	11	13
100132708	0	0	0	0	2	0	0	0	0	0
344561	0	0	0	0	0	0	0	0	0	0
205147	0	0	0	0	5	0	0	0	0	0
50649	1196	939	259	1180	931	450	1203	312	680	816
130074	2064	1965	547	2254	1669	810	1896	579	1477	1431
55041	2037	2526	1388	3199	1719	2752	2144	1155	1926	2160
445582	17	17	13	35	15	25	9	11	10	17
112268424	0	0	0	0	0	0	0	0	0	0
440910	0	0	0	0	1	0	0	0	0	1
150786	25	27	26	33	32	34	25	14	26	36
112268425	0	0	0	0	0	0	0	0	0	0
389043	0	0	0	0	0	0	0	0	0	3
401010	1	0	0	0	1	0	2	1	3	1
653784	146	238	58	142	76	100	167	69	159	97
113457	25	21	4	37	15	10	7	8	21	27
100616378	6	4	0	1	6	0	4	0	17	2
150776	230	310	74	347	288	113	286	112	366	191
90557	2	2	2	0	1	0	0	0	7	2
440915	2	0	0	0	2	1	0	0	0	0
101927994	0	0	0	1	0	0	0	0	0	0
29798	18	373	83	280	99	87	41	6	230	320
408029	0	3	6	1	2	1	0	0	0	0
101928067	0	0	0	0	0	0	0	0	0	0
554226	2	1	0	47	9	0	0	0	0	0
100313824	0	0	0	0	0	0	0	0	0	0
105373622	0	0	0	0	0	0	0	0	0	0
646915	0	0	0	0	0	0	0	0	0	6
339742	0	0	0	4	0	0	0	0	0	1
2863	1	11	0	2	8	0	11	1	0	3
113218485	0	0	0	0	0	0	0	0	0	0
116372	1	10	0	1	14	0	16	1	0	1
105373623	28	0	0	5	8	0	0	2	1	6
344148	30	4	0	17	6	0	0	5	6	2
101928185	5	1	0	0	18	0	0	0	2	5
112268439	0	3	0	2	0	0	3	0	0	1
101928161	0	0	0	0	0	0	0	0	0	0
105373627	0	3	4	2	1	1	0	0	0	2
105373628	0	0	0	0	0	0	0	0	0	0
4249	3129	4090	817	4094	2556	1440	3982	1014	2070	2777
100500878	51	97	19	120	99	16	103	10	119	66
81615	35	95	6	139	43	16	74	30	113	103
105373629	0	0	0	0	0	1	0	0	0	0
130013	58	103	10	39	68	15	56	28	47	50
100847069	0	0	0	0	0	0	0	0	5	0
100129961	45	97	20	32	37	38	67	33	81	57
905	6034	5734	2640	6275	4427	4474	5581	2370	4104	5881
80122	71	38	16	71	70	23	46	12	35	50
22930	1774	1736	729	2109	1167	1435	2185	919	1530	1697
109616967	18	11	1	25	9	7	22	7	14	8
84083	260	257	67	198	158	147	192	90	231	190
23518	903	950	308	1252	839	581	921	421	1307	793
406915	12	16	1	4	9	0	4	5	6	10
107985946	53	135	61	174	61	105	58	47	70	74
23190	5224	4080	3172	5915	3927	4801	5127	2563	4217	4482
3938	45	40	16	68	41	55	35	20	40	50
100507600	0	46	6	1	17	2	0	1	0	2
4175	183	336	185	533	474	419	426	228	411	256
1615	1920	1434	489	1175	872	875	1911	500	1232	1540
101928243	142	255	21	64	71	41	65	35	60	144
112268426	2420	2310	1331	2648	2108	2379	2377	1291	1466	2215
7852	8039	7753	3848	11099	6554	7856	6871	4161	3928	8044
107985947	1	1	1	8	22	11	25	5	2	25
105373633	0	0	0	0	0	0	0	0	0	0
80731	0	0	0	0	3	0	0	0	0	0
105373634	0	0	0	0	0	0	0	0	0	0
101928273	0	0	0	0	3	0	0	0	0	0
3176	467	285	497	636	259	442	411	176	396	623
107985948	63	62	21	97	50	25	34	25	51	77
105373636	6	0	3	1	1	0	4	0	0	1
105373635	12	0	0	22	0	3	15	5	25	0
105373637	756	384	50	393	344	199	262	140	486	511
339745	10747	6574	5065	10365	8403	9023	6908	3594	6066	10571
11249	0	0	0	2	2	1	0	0	0	0
647012	0	0	0	0	0	1	0	0	0	0
105373639	0	0	0	0	0	0	0	0	0	0
105373640	0	0	0	0	5	0	0	0	0	0
107985821	0	0	0	0	0	0	0	0	0	0
105373643	0	0	0	0	0	0	0	0	0	1
105373641	0	0	0	0	1	0	0	0	0	1
105373644	0	0	0	0	0	0	0	0	0	0
105373645	0	0	0	0	0	0	0	0	0	0
105373647	0	0	0	0	0	0	0	0	0	0
107985822	0	0	0	0	0	0	0	0	0	0
53353	7	7	1	7	9	0	2	0	16	14
102465692	0	0	0	0	0	0	0	0	0	0
105373649	0	0	0	0	1	0	0	0	0	0
107985779	0	0	0	0	2	0	0	0	0	0
105373648	0	0	0	0	1	0	0	0	0	0
105373651	0	0	0	0	2	0	0	0	0	0
107985823	0	0	0	0	0	0	0	0	0	0
105373652	17	54	0	17	0	15	11	6	5	5
8942	4013	2624	2127	4274	2520	2491	3008	2046	3775	4359
55843	8784	6582	1418	7893	6864	3485	6583	2462	4984	10276
107985949	5232	5058	586	5701	4455	1579	5101	1387	2028	7263
101928361	3377	2682	322	3224	3394	1020	2425	957	2441	3769
105373654	5585	4245	794	5878	4774	1573	5068	1591	3708	6415
101928386	51	34	10	48	35	17	22	12	27	40
79712	1767	1399	344	1761	1319	701	1370	492	1465	1598
9839	6871	7495	3014	8137	4835	5256	8863	3367	10415	8563
100303491	60	105	48	107	80	61	92	41	154	130
101928455	0	0	1	0	0	0	0	0	0	0
105373656	0	18	3	39	0	12	7	0	76	8
401014	0	0	0	6	7	0	1	6	1	0
105373663	1	0	0	0	0	0	0	0	0	0
105373662	0	6	0	1	0	0	3	0	0	2
100505498	0	0	0	3	15	0	0	0	1	2
105373664	0	0	0	0	0	0	0	0	0	0
105373665	0	0	0	0	0	0	0	0	0	0
105373666	0	0	0	0	0	0	0	0	0	0
105373667	0	0	0	0	2	0	0	0	0	0
728773	0	0	0	0	0	0	0	0	0	0
105373669	0	0	0	0	1	0	0	0	0	2
105373668	0	0	0	0	4	0	0	0	0	6
107985824	0	0	0	0	0	0	0	0	0	0
92	1096	769	136	860	738	314	989	269	724	830
5000	1413	1152	294	1302	952	712	1331	491	992	1290
105373674	144	114	6	127	107	36	139	36	105	137
55777	1594	1631	528	1643	1048	975	1131	706	1617	1343
105373673	224	287	65	237	160	141	175	112	159	310
26122	2045	1832	788	1843	1453	1416	1821	794	1567	1665
101928526	0	0	0	0	0	0	0	0	0	0
3800	462	298	50	283	245	82	311	87	176	273
112267889	8	54	3	53	27	11	64	3	18	25
101928553	182	87	3	160	58	29	104	26	37	104
130576	8	1	0	4	3	0	0	1	0	1
105373678	0	2	2	0	0	0	0	1	0	0
105373677	0	4	0	0	0	0	0	0	1	1
105373679	0	0	0	0	0	0	0	0	0	6
130574	0	0	0	0	25	0	0	0	0	0
113218495	0	0	0	0	0	0	0	0	0	0
27249	3364	2900	2584	3174	1859	3952	4035	1713	1778	2610
101929231	53	58	18	45	26	72	38	27	33	62
105373680	0	0	0	0	2	0	0	0	10	0
150596	0	2	0	0	0	1	0	0	0	0
105373682	0	0	0	0	0	0	0	0	0	0
105373684	0	0	0	0	3	0	0	0	0	0
105373683	0	0	0	0	0	0	0	0	0	0
105373685	0	0	0	0	0	0	0	0	0	0
390	0	0	0	0	0	0	0	0	0	0
101929260	0	0	0	0	0	0	0	0	0	1
101929282	0	0	0	0	0	0	0	0	0	0
105373686	0	0	0	0	0	0	0	0	0	1
107985825	0	2	1	1	0	8	0	0	0	2
107985826	0	0	0	0	0	0	0	0	0	0
375287	571	522	286	599	282	550	697	385	545	627
9111	1662	1386	1974	1514	896	3547	1058	1000	1277	1211
107985827	0	0	0	0	0	0	0	0	0	3
101929319	139	65	781	80	42	964	54	449	70	146
7130	771	872	12293	784	372	13175	680	5710	463	1648
100616392	9	9	20	7	6	33	5	24	4	16
100616418	9	9	20	7	6	33	5	24	4	16
55183	4524	4583	1780	4586	3365	3672	5205	1834	3934	5075
4703	664	861	152	781	620	313	1067	379	781	556
101929356	962	1113	120	1204	754	243	1164	346	1216	714
26225	2512	2300	681	2123	1326	1374	3276	866	1880	2548
785	1044	402	63	391	398	161	411	60	367	116
10254	5925	4120	3295	5336	3551	6641	4418	2497	3424	4551
105373689	0	1	1	0	0	5	3	1	0	10
105373688	0	0	0	0	6	0	0	0	0	0
114793	321	435	301	426	240	320	395	194	445	308
105373690	82	86	18	103	22	35	62	27	54	66
55660	7216	6239	3884	6422	3917	5964	6645	2913	4852	6807
151188	1115	1079	504	1014	702	945	832	415	687	820
105373691	0	0	0	0	0	0	0	0	0	0
107985950	0	0	0	0	1	0	0	0	0	0
107985951	0	0	0	0	0	0	0	0	0	1
56475	0	0	0	0	0	0	0	0	0	0
114805	0	0	0	1	1	0	30	0	0	4
100144595	0	0	0	0	1	0	0	0	0	0
105373692	0	0	0	0	0	0	1	0	0	0
105373694	0	0	0	0	0	0	0	0	0	0
105373693	0	0	0	0	8	0	0	0	0	0
3760	0	0	0	0	0	2	0	2	0	0
105373696	0	0	0	0	0	0	0	0	0	0
107985952	0	0	0	0	0	0	0	0	0	0
105373698	0	0	0	0	3	0	0	0	0	0
105373699	0	0	0	0	0	0	0	0	0	0
105373700	0	0	0	0	0	0	0	0	0	0
107985953	2	0	0	1	1	0	0	0	0	3
107985828	0	0	0	0	2	0	0	0	0	0
105373703	0	2	0	0	6	0	0	0	0	0
101929378	66	39	6	20	23	1	5	3	4	10
4929	119	87	18	49	52	18	20	15	87	26
440918	505	629	536	469	280	735	762	377	315	468
100189021	0	1	3	1	0	2	0	0	0	0
100189208	0	0	0	0	0	3	0	0	0	0
2820	1448	1588	1725	1260	960	2488	1798	1306	1313	1419
105373707	0	0	0	0	0	1	0	0	0	3
105373708	0	0	0	0	0	0	0	0	0	0
107985955	0	0	0	0	0	0	0	0	0	0
105373710	0	2	0	0	0	0	0	0	0	1
105373709	0	0	0	2	2	0	0	0	0	0
11227	58	104	108	34	26	48	37	31	13	68
57471	332	286	32	259	257	76	415	110	280	423
728066	255	265	52	243	237	105	368	74	174	328
105373711	686	699	62	480	433	192	739	153	603	723
9595	10347	9475	2648	10143	7208	5575	10167	3059	6496	10743
105373712	2	2	1	4	1	4	4	1	1	3
130399	366	442	84	215	273	156	265	167	154	261
105373713	36	16	8	25	50	20	58	14	18	21
90	460	325	130	489	283	241	503	140	408	281
105373714	2	3	0	2	8	1	2	0	12	3
151531	4	0	1	19	1	0	0	3	3	0
554201	2	2	1	0	0	0	0	0	0	0
130940	6	6	4	20	10	3	8	4	2	3
8502	490	562	124	699	373	194	383	169	703	426
105373715	124	41	10	171	53	30	115	45	102	79
107985780	204	180	66	472	158	77	223	94	427	170
100129029	16	12	4	20	15	3	30	9	34	20
92196	0	0	0	0	2	0	0	0	0	0
85461	33	80	6	63	56	27	73	22	39	55
102465535	0	0	0	0	0	0	0	0	0	0
105373716	90	177	34	279	151	22	147	39	130	171
151525	203	287	65	272	243	85	276	85	136	227
29994	16478	9187	3811	16367	10639	8040	10873	4090	6958	17437
643072	1609	1083	560	1759	918	1227	1132	485	710	1567
64844	11040	8440	3616	9921	7842	8201	9213	3238	6919	10795
100526664	4815	4416	1462	5457	4261	3160	3926	1548	3992	6319
9936	3622	3012	1076	4143	3170	2115	2610	1023	2992	4471
4065	2209	2082	803	2257	1985	2206	2341	920	1823	3054
22925	0	1	0	5	5	1	0	2	2	8
105373717	0	0	0	0	7	0	0	0	0	0
3694	0	1	0	0	1	0	0	0	0	0
100505984	27	38	5	21	62	14	42	4	25	11
5937	4340	3933	3203	5042	3390	4494	4436	2017	4287	4993
100616364	9	15	6	18	6	10	6	2	4	9
105373718	0	0	0	0	0	0	0	0	0	0
105373719	1	4	2	2	2	4	1	3	0	1
10010	5120	3864	5471	4508	3374	8570	3926	3571	2337	4450
101929512	83	87	52	135	85	121	123	107	74	117
100996579	151	164	73	113	147	76	354	112	92	99
10213	410	566	327	301	249	410	549	231	203	425
10716	0	0	0	0	6	0	2	1	5	0
105373720	0	0	0	0	0	0	0	0	0	0
285116	1315	860	147	1244	812	500	960	230	849	1082
57282	3158	1261	243	1087	1353	773	1919	157	957	1138
105373722	62	26	5	14	34	5	29	1	8	12
1803	1320	1110	201	1040	678	361	1363	335	806	1002
100131604	16	3	1	5	4	5	34	3	3	6
101929532	0	0	20	0	4	31	0	4	0	3
2641	0	0	0	0	1	0	0	0	0	0
2191	1	1	59	2	38	97	1	18	18	18
105373724	1	1	4	1	9	12	1	2	0	6
64135	3260	3562	9369	2807	1671	10754	2865	5813	2113	4011
25801	44616	32877	40707	44627	34594	60579	28989	22240	16923	58523
90134	596	537	444	748	536	539	326	246	218	1550
101929570	0	1	0	0	0	0	0	0	0	0
105373727	1	0	0	0	6	0	0	0	0	0
107985829	0	0	0	0	0	0	0	0	0	0
105373728	0	0	0	0	4	0	0	0	0	0
55137	0	0	0	0	0	0	0	0	4	0
107985957	0	0	0	0	0	0	0	0	0	0
2888	23	5	15	15	13	15	0	3	14	12
22837	1476	1679	708	2143	1072	877	899	632	1049	1338
100337591	9	3	2	1	5	1	3	0	2	1
101929633	3	17	0	10	0	6	18	3	9	2
151258	77	255	64	292	151	98	77	80	31	38
6328	99	220	83	310	82	153	175	85	69	116
6326	20	0	1	4	16	0	5	2	0	2
80034	11	0	2	1	6	2	0	1	0	1
2591	1618	1086	1293	1270	722	3588	948	1201	1049	1561
105373730	102	190	31	109	87	74	183	47	95	189
100506124	183	262	22	193	153	68	257	46	246	182
79809	2819	3242	675	3095	2443	1474	3471	1082	2780	2873
100506134	64	6	2	24	9	11	26	5	11	11
102724058	0	0	0	0	0	0	0	0	0	0
6323	0	5	0	5	2	0	0	0	0	2
101929680	3	9	5	20	11	23	15	8	12	22
6335	112	128	200	210	169	255	194	79	246	247
6332	0	0	2	2	5	2	0	1	0	4
107985958	0	0	0	0	0	0	0	0	0	0
129446	0	1	1	4	16	5	6	4	5	5
100874011	0	0	0	0	1	0	0	0	0	0
8708	0	2	4	2	1	0	0	0	5	6
105616981	0	5	0	0	0	0	0	0	3	0
27347	1942	2323	383	2173	1803	782	3196	659	2218	1858
107985959	0	0	0	0	1	1	6	0	0	0
105373733	0	0	0	0	0	0	0	2	0	0
105373734	2	1	5	1	4	0	0	1	3	8
102724081	51	118	14	68	25	9	26	15	18	32
253782	2013	2455	1220	2050	995	1158	3026	1046	1754	2180
100616356	8	16	4	16	2	0	23	4	5	14
100861402	248	319	256	346	186	251	443	146	355	361
115677	0	4	0	0	12	4	25	4	0	7
57405	1	9	3	3	4	5	8	1	6	8
57818	0	0	0	0	2	0	0	0	0	0
8647	4	10	0	13	12	12	6	1	10	1
10170	1262	951	1942	1547	700	4345	566	1204	357	591
4036	0	0	0	0	12	1	0	1	0	3
129880	26	50	4	41	72	17	10	9	16	36
10324	11	51	0	16	5	15	12	15	40	7
79675	233	443	218	347	270	244	658	142	449	344
9360	3002	2336	1297	3045	2124	1863	2392	830	1886	2926
129881	106	57	9	102	44	51	86	26	29	85
493911	194	124	15	79	72	27	61	34	64	102
100526832	16	19	2	12	24	7	11	11	28	12
151230	8	11	0	5	18	6	7	6	20	6
6741	939	1032	1451	935	554	1008	1155	802	726	1061
29081	764	607	438	668	468	536	1134	410	307	559
109617017	34	22	13	30	20	10	60	15	42	29
130507	4608	3724	1068	4630	3358	1642	4889	1219	3554	4176
140469	32	99	1	12	22	6	102	4	138	36
105373735	0	1	0	2	2	0	37	0	23	4
101929753	0	1	0	1	0	0	21	0	5	1
100130256	3	4	0	2	0	0	1	0	0	1
101926913	0	1	0	0	0	1	0	0	0	0
440925	0	0	0	0	0	0	0	0	0	0
389058	0	0	0	0	0	0	0	0	0	0
285141	3	1	0	0	6	1	1	1	0	1
2571	9	0	4	1	5	2	0	0	0	1
26003	1887	1907	995	2912	1694	1853	2134	1385	1165	1407
9874	3456	2441	1297	3785	3024	2181	2708	1173	3096	2604
107983995	3	0	0	4	2	1	7	1	31	2
105373737	6	3	0	8	7	0	16	0	5	4
79828	1071	1193	181	1093	633	393	964	281	783	833
80067	1673	1525	311	1486	973	751	1506	491	1185	1249
79901	1216	1008	259	1345	692	216	1428	134	894	1195
1781	2127	2138	1333	2508	1542	1839	2705	1070	1310	2148
8604	522	533	110	469	325	213	684	156	436	450
105373739	0	0	0	0	0	0	0	0	0	0
105373740	10	0	1	0	0	0	0	0	0	0
8520	533	764	487	636	377	548	918	232	528	543
254042	110	157	37	103	89	61	157	39	47	86
1745	0	0	0	0	1	0	0	0	0	0
1746	5	0	1	1	2	0	1	0	0	3
104326193	0	0	0	0	1	0	0	0	0	0
105373741	0	0	0	0	0	0	0	0	0	0
107985960	0	0	0	0	0	0	0	0	0	0
105376738	0	0	0	0	1	0	0	0	0	0
105373742	0	0	0	0	1	0	0	0	0	0
3655	5211	5336	979	4155	3045	2283	5200	1559	3239	4090
101929947	81	147	30	64	54	85	99	28	69	97
5163	6518	6523	1800	5724	3908	2745	6112	2302	4329	6430
91149	53	10	1	48	5	13	5	12	6	7
11069	14	14	8	11	15	14	12	12	4	5
51776	523	607	251	867	578	339	544	199	711	1534
339751	55	66	26	93	56	44	51	14	56	140
105373743	0	0	0	0	1	0	0	0	0	0
83879	53	65	66	65	49	189	186	93	119	99
105373744	0	0	0	0	0	0	0	0	0	0
107985961	0	0	0	0	0	0	0	0	0	0
105373745	0	0	0	0	0	0	0	0	0	0
6670	11351	10330	3635	9910	8244	7030	8797	3094	6498	12847
100128905	2	9	0	2	3	1	4	0	0	10
105373746	0	0	0	0	0	0	0	0	0	1
29789	969	1374	645	1502	1051	1066	1811	544	1092	958
285084	0	0	0	0	5	0	0	1	0	3
102724194	0	0	0	0	0	0	0	0	0	0
100131390	0	0	0	0	0	0	0	0	0	1
9541	659	794	1452	1880	963	1833	579	1026	830	772
79634	1807	1074	438	1476	831	957	1367	512	1097	1289
151556	2630	2586	717	3041	1493	1274	1934	1068	2778	2462
105373748	57	27	6	97	23	16	22	7	71	36
7456	19359	17585	11999	34785	23843	22561	16959	12294	19840	16151
440926	7157	7208	18912	12949	8686	18078	9054	11399	6966	9950
1134	0	0	0	0	4	0	0	0	0	5
105373750	0	0	0	0	0	0	0	0	0	0
1123	64	11	9	63	24	34	23	9	1	24
1386	3934	4158	2594	4066	2913	4456	4443	2148	2595	4607
100126350	3	4	1	6	1	1	2	0	0	2
518	1034	1340	1029	1120	786	1260	2004	895	1129	1211
105373752	0	0	0	0	1	0	0	0	0	0
107985962	16	0	0	31	2	0	0	1	0	0
80856	2726	2120	761	2482	1496	1409	2218	678	1983	2006
107985830	0	0	0	0	33	0	0	0	0	4
344191	0	0	0	0	0	0	0	0	0	0
3239	0	0	0	0	0	0	0	0	0	0
3238	0	0	0	0	3	0	0	0	0	0
107985805	0	0	0	0	0	0	0	0	0	0
3237	0	0	0	0	0	0	0	0	0	0
3236	0	0	0	0	4	0	0	0	0	0
3235	0	0	0	0	0	0	0	0	0	0
100129455	0	0	0	0	8	0	0	0	0	0
3234	0	0	0	0	1	0	0	0	0	1
100506783	0	0	0	0	0	0	0	0	0	0
401021	0	0	0	0	1	0	0	0	0	0
406903	0	0	0	0	0	0	0	0	0	0
3233	0	0	0	0	21	0	0	0	0	0
3232	0	0	0	0	4	0	0	0	0	0
401022	0	0	0	0	8	0	0	0	0	0
102800310	0	0	0	0	1	0	0	0	0	0
3231	0	0	0	0	0	0	0	1	0	0
102465802	0	0	0	0	0	0	0	0	0	0
10651	178	195	110	268	218	189	281	138	200	164
100302142	0	0	0	0	0	0	0	0	0	0
105373754	0	0	0	1	0	0	0	0	0	0
375295	0	0	0	0	1	0	0	0	0	0
102724224	0	0	0	0	3	0	0	0	0	0
105369143	0	0	0	0	0	0	0	0	0	0
101929963	0	0	0	1	2	0	4	0	0	4
105373757	0	0	0	0	0	0	0	0	0	1
107985966	0	0	0	0	9	0	0	0	0	1
105373756	4	3	0	0	2	0	15	0	1	3
107985965	0	0	0	0	0	0	0	0	0	0
105373760	0	0	0	0	0	0	0	0	0	0
105373759	97	62	29	49	34	55	103	15	42	46
220988	4169	3732	1036	4287	3618	2349	5036	1563	5980	3391
100616394	4	3	2	5	3	4	7	2	12	7
4780	3741	2924	3117	5343	3639	5003	3264	2267	3564	4255
100422824	44	56	7	36	44	20	21	22	38	71
100130691	177	166	56	144	158	41	269	30	150	130
102465255	0	0	0	2	1	1	0	0	3	2
8540	2015	1906	785	2016	1261	1063	2463	756	1745	2162
105373762	138	114	9	64	103	38	172	43	44	86
150737	145	150	50	218	240	193	140	72	226	225
92104	69	62	31	86	96	67	86	26	41	103
50940	0	1	0	0	5	0	0	0	0	4
105373764	0	10	0	16	0	0	0	0	0	1
129831	462	472	143	317	198	184	538	137	262	366
114880	104	59	4	22	24	7	10	2	11	13
101927027	396	354	162	308	278	198	450	168	351	261
8575	534	612	168	534	399	359	700	183	516	473
494513	58	38	4	28	30	12	46	9	23	37
51661	57	26	3	29	6	1	9	4	23	20
65977	3851	3695	770	3233	2659	1431	4457	1021	3513	3651
100506866	1251	1482	372	1308	992	827	1082	577	837	1005
7273	18803	19201	4817	21132	14242	10389	21245	8348	13546	14852
101927055	21	33	3	48	30	10	54	10	20	32
285025	866	929	143	1055	688	305	1354	406	659	691
105373766	8	42	1	25	11	2	20	2	6	18
91404	3018	2062	3013	2670	1587	5476	2379	2503	1863	2976
